case,location,city or county,date,summary,fatalities,injured,total_victims,venue,prior signs of mental health issues,mental health - details,weapons obtained legally,where obtained,type of weapons,weapon details,race,gender,sources,mental health sources,latitude,longitude,type,year
,Pennsylvania,Philadelphia,1/23/18,N 24th St and Ridge Ave,0,4,4,,,,,,,,,,,,,,,
,Kentucky,Benton,1/23/18,416 High School Road,2,14,16,,,,,,,,,,,,,,,
,Florida,Orlando,1/21/18,3101 Willow Bend Blvd,0,4,4,,,,,,,,,,,,,,,
,Illinois,Chicago,1/21/18,3200 W Division St,0,4,4,,,,,,,,,,,,,,,
,District of Columbia,Washington,1/17/18,2000 block of 16th St SE,1,3,4,,,,,,,,,,,,,,,
,South Carolina,York,1/16/18,3042 Farrier Lane,1,4,5,,,,,,,,,,,,,,,
,Florida,Alachua,1/15/18,14223 NW 156th Pl,0,5,5,,,,,,,,,,,,,,,
,Alabama,Eutaw,1/14/18,809 Mesopotamia St,1,4,5,,,,,,,,,,,,,,,
,Alabama,Madison,1/14/18,101 Westchester Dr,0,4,4,,,,,,,,,,,,,,,
,Tennessee,Nashville,1/12/18,2614 Jenkins Ct,3,2,5,,,,,,,,,,,,,,,
,Missouri,St. Robert,1/11/18,St Robert Outer Road and Houston Road,2,2,4,,,,,,,,,,,,,,,
,Alabama,Union Springs,1/7/18,U.S. Highway 29,1,5,6,,,,,,,,,,,,,,,
,Florida,Plantation,1/7/18,5225 W Broward Blvd,0,4,4,,,,,,,,,,,,,,,
,Mississippi,Hattiesburg,1/5/18,6168 US 49,0,6,6,,,,,,,,,,,,,,,
,Arkansas,Brinkley,1/4/18,615 W 6th St,1,3,4,,,,,,,,,,,,,,,
,Alabama,Huntsville,1/1/18,2025 Sparkman Dr NW,1,3,4,,,,,,,,,,,,,,,
Santa Fe High School shooting,"Santa Fe, TX",,5/18/18,"Dimitrios Pagourtzis, a 17-year-old student, opened fire at Santa Fe High School with a shotgun and .38 revolver owned by his father; Pagourtzis killed 10 and injured at least 13 others before surrendering to authorities after a standoff and additional gunfire inside the school. (Pagourtzis reportedly had intended to commit suicide.) Investigators also found undetonated explosive devices in the vicinity. (FURTHER DETAILS PENDING.)",10,13,23,School,-,-,-,Father's weapons,shotgun; .38 revolver,-,White,M,https://www.chron.com/news/houston-texas/article/Shots-fired-at-Santa-Fe-High-School-12925050.php; https://www.nytimes.com/2018/05/18/us/school-shooting-santa-fe-texas.html; https://www.aol.com/article/news/2018/05/21/suspected-texas-gunman-studied-previous-mass-shootings-report/23439884/,-,29.392825,-95.141972,Mass,2018
Waffle House shooting,"Nashville, TN",,4/22/18,"Travis Reinking, 29, opened fire around 3:30 a.m. in the parking lot of a Waffle House in Antioch, and continued shooting as he entered the restaurant. As he attempted to reload his AR-15, a bystander heroically wrestled the rifle away from Reinking, who then fled; he was captured by authorities the following day. Reinking had a history of erratic behavior and run-ins with law enforcement in his home state of Illinois, including claims that he was being stalked and harassed by pop star Taylor Swift. In July 2017, he was arrested at the White House after breaching security in an effort to speak with President Trump, reportedly claiming his right to do so as “a sovereign citizen.” ",4,4,8,Other,Yes,"Reinking had a history of erratic behavior and run-ins with law enforcement in his home state of Illinois, including claims that he was being stalked and harassed by pop star Taylor Swift. In July 2017, he was arrested at the White House after breaching security in an effort to speak with President Trump, reportedly claiming his right to do so as “a sovereign citizen.”",TBD,Family member,semiautomatic rifle,AR-15,White,M,https://www.washingtonpost.com/news/post-nation/wp/2018/04/23/waffle-house-shooting-travis-reinking-manhunt-continues-nashville-police-say/?utm_term=.69579db5fdc6; https://www.tennessean.com/story/news/2018/04/23/waffle-house-shooting-travis-reinking-search-continues-antioch-nashville/541313002/; https://www.nytimes.com/2018/04/23/us/waffle-house-shooting-nashville.html; https://www.buzzfeed.com/briannasacks/this-is-what-we-know-about-the-suspected-waffle-house-gunman?utm_term=.ilj2Knad6#.lklzyb3vj; http://www.wkrn.com/news/manhunt-continues-for-gunman-who-killed-4-at-antioch-waffle-house/1134986998,https://www.buzzfeed.com/briannasacks/this-is-what-we-know-about-the-suspected-waffle-house-gunman?utm_term=.ilj2Knad6#.lklzyb3vj,36.052521,-86.616944,Mass,2018
Yountville veterans home shooting,"Yountville, CA",,3/9/18,"Army veteran Albert Cheung Wong, 36, stormed a veterans home where he was previously under care, exchanging gunfire with a sheriff’s deputy and taking three women hostage, one of whom he’d previously threatened. After a standoff with law enforcement, he killed the three women and himself.",3,0,3,Workplace,Yes,Wong had served in Afghanistan and had a history of PTSD.,Yes,TBD,semiautomatic rifle; shotgun,-,Asian,M,https://www.cnn.com/2018/03/10/us/california-veterans-home-shooting/index.html; http://www.ktvu.com/news/gunman-in-yountville-veterans-home-killings-was-ex-patient; https://www.washingtonpost.com/news/post-nation/wp/2018/03/09/police-respond-to-reports-of-gunfire-and-hostages-taken-at-california-veterans-home/?utm_term=.b9dde7ac5f0f,https://www.cnn.com/2018/03/10/us/california-veterans-home-shooting/index.html,38.392496,-122.366528,Mass,2018
Marjory Stoneman Douglas High School shooting,"Parkland, Florida",,2/14/18,"Nikolas J. Cruz, 19, heavily armed with an AR-15, tactical gear, and “countless magazines” of ammo, according to the Broward County Sheriff, attacked the high school as classes were ending for the day, killing at least 17 people and injuring many others. He was apprehended by authorities shortly after fleeing the campus.",17,14,31,School,Yes,Cruz had a long history of behavioral problems and had spent time in mental health clinics.,Yes,A Florida pawn shop,semiautomatic rifle,AR-15,White,M,https://www.nytimes.com/2018/02/14/us/parkland-school-shooting.html; https://www.nytimes.com/2018/02/15/us/nikolas-cruz-florida-shooting.html,https://www.nytimes.com/2018/02/15/us/nikolas-cruz-florida-shooting.html,26.30483,-80.269511,Mass,2018
Pennsylvania carwash shooting,"Melcroft, PA",,1/28/18,"Timothy O'Brien Smith, 28, wearing body armor and well-stocked with ammo, opened fire at a carwash early in the morning in this rural community, killing four people. A fifth victim, though not shot, suffered minor injuries. One of the deceased victims, 25-year-old Chelsie Cline, had been romantically involved with Smith and had broken off the relationship recently, according to her sister. Smith shot himself in the head and died later that night at the hospital.",4,1,5,Other,TBD,-,TBD,TBD,semiautomatic rifle and semiautomatic handgun,-,White,M,http://www.wpxi.com/news/top-stories/family-members-small-community-in-shock-after-4-killed-in-shooting/690497960; http://www.wpxi.com/news/top-stories/suspect-in-mass-shooting-at-car-wash-pronounced-dead/691578228,-,40.052151,-79.389166,Mass,2018
Rancho Tehama shooting spree,"Rancho Tehama, CA",,11/14/17,"Kevin Janson Neal, 44, went on an approximately 45-minute shooting spree in the rural community of Rancho Tehama Reserve in Northern California, including shooting up an elementary school, before being killed by law enforcement officers. Neal had also killed his wife at home.",5,10,15,Other,TBD,-,No,TBD,semiautomatic rifles,Two illegally modified rifles,White,M,https://www.nbcnews.com/news/us-news/california-mass-shooter-killed-wife-buried-her-beneath-floor-n821051; https://www.npr.org/sections/thetwo-way/2017/11/15/564335359/in-harm-s-way-school-staff-saved-students-during-tehama-county-shooting; https://twitter.com/anblanx/status/930862796123729920,-,40.018759,-122.393089,Spree,2017
Texas First Baptist Church massacre,"Sutherland Springs, TX",,11/5/17,"Devin Patrick Kelley, a 26-year-old ex-US Air Force airman, opened fire at the First Baptist Church in Sutherland Springs during Sunday morning services, killing at least 26 people and wounding and injuring 20 others. He left the church and fled in his vehicle after engaging in a gunfight with a local citizen; he soon crashed his vehicle and died from a self-inflicted gunshot wound.",26,20,46,Religious,Yes,"Kelley had a history of domestic violence, including a court martial and conviction stemming from assaulting his wife and child; he also had a history of cruelty to animals and of stalking and harassing ex-girlfriends, including an underage girl. He reportedly briefly escaped from a mental health facility in 2012.",Kelley passed federal criminal background checks; the US Air Force failed to provide information on his criminal history to the FBI,Purchased in April 2016 from an Academy Sports & Outdoors store in San Antonio,semiautomatic rifle,Ruger AR-556; Kelley also possessed semiautomatic handguns,White,M,https://www.washingtonpost.com/news/morning-mix/wp/2017/11/06/who-is-devin-patrick-kelley-gunman-who-officials-say-killed-churchgoers-in-sutherland-springs/; https://www.washingtonpost.com/news/post-nation/wp/2017/11/06/investigators-hunt-for-motive-in-texas-church-shooting-as-the-grieving-spans-generations/; https://www.washingtonpost.com/news/morning-mix/wp/2017/11/06/an-unlikely-hero-describes-gun-battle-and-95-mph-chase-with-texas-shooting-suspect/; http://www.cnn.com/2017/11/06/us/texas-church-shooting/index.html; https://www.usnews.com/news/top-news/articles/2017-11-06/church-shooter-killed-himself-after-vehicle-chase-sheriff-tells-cbs,http://www.expressnews.com/news/local/article/Suspected-gunman-Devin-Patrick-Kelley-lived-near-12334186.php; http://www.denverpost.com/2017/11/06/texas-shooting-devin-patrick-kelley-colorado-arrest/; https://www.nbcnews.com/storyline/texas-church-shooting/who-devin-kelley-alleged-texas-church-shooter-n817806; https://www.click2houston.com/news/sutherland-springs-church-shooter-escaped-mental-health-facility-months-after-attack-on-wife-child,29.273282,-98.056488,Mass,2017
Walmart shooting in suburban Denver,"Thornton, CO",,11/1/17,"Scott Allen Ostrem, 47, walked into a Walmart in a suburb north of Denver and fatally shot two men and a woman, then left the store and drove away. After an all-night manhunt, Ostrem, who had financial problems but no serious criminal history, was captured by police after being spotted near his apartment in Denver.",3,0,3,Other,Unclear,-,TBD,-,semiautomatic handgun,-,White,M,https://www.nytimes.com/2017/11/01/us/thornton-colorado-walmart-shooting.html; http://www.cnn.com/2017/11/01/us/colorado-walmart-shooting/index.html; http://www.thedenverchannel.com/news/crime/colorado-walmart-shooting-suspect-scott-ostrem-had-run-ins-with-police-financial-troubles; http://www.ibtimes.com/who-scott-ostrem-manhunt-underway-colorado-walmart-shooting-suspect-2609562,-,39.876374,-104.986132,Mass,2017
Edgewood businees park shooting,"Edgewood, MD",,10/18/17,"Radee Labeeb Prince, 37, fatally shot three people and wounded two others around 9am at Advance Granite Solutions, a home remodeling business where he worked near Baltimore. Hours later he shot and wounded a sixth person at a car dealership in Wilmington, Delaware. He was apprehended that evening following a manhunt by authorities.",3,3,6,Workplace,Unclear,-,No,Unclear,handgun,.380-caliber; make unclear,Black,M,http://www.baltimoresun.com/news/maryland/harford/aegis/ph-ag-edgewood-shooting-20171018-story.html; http://www.cnn.com/2017/10/18/us/maryland-harford-county-shooting/index.html,-,39.452189,-76.309988,Mass,2017
Las Vegas Strip massacre,"Las Vegas, NV",,10/1/17,"Stephen Craig Paddock, 64, fired a barrage of rapid gunfire—using semiautomatic rifles modified with ""bump stocks""—down on thousands of concertgoers on the Las Vegas Strip late on a Sunday night; Paddock had positioned himself in a corner suite on the 32nd floor of the Mandalay Bay Resort and Casino, where he took aim from broken out windows. Shortly after the attack began, police responding found Paddock inside the hotel suite, deceased from a self-inflicted gunshot.",58,546,604,Other,TBD,Perpetrator's history unclear. In 1969 Paddock's father was classified by the FBI as a dangerous psychopath with suicidal tendencies; psychopathy can be heritable (see Mother Jones sourcing). ,Yes,Two gun shops in Nevada,"23 firearms, mostly rifles; including scopes, and two modified for ""fully automatic"" firing; two were mounted on tripods","AR-15-style and AK-47-style rifles and ""a large cache of ammunition""; four Daniel Defense DDM4 rifles, three FN-15s and other rifles made by Sig Sauer.",White,M,"https://www.lvmpd.com/en-us/Documents/1_October_FIT_Report_01-18-2018_Footnoted.pdf; https://www.nytimes.com/2017/10/02/us/stephen-paddock-vegas-shooter.html; https://www.wsj.com/articles/las-vegas-suspect-likely-used-automatic-rifle-in-massacre-1506966716; https://www.usatoday.com/story/news/nation/2017/10/02/las-vegas-shooting/722191001/; https://www.usatoday.com/story/news/nation/2017/10/02/las-vegas-shooting/722191001/; http://www.latimes.com/nation/la-las-vegas-shooting-live-updates-paddock-had-19-rifles-in-room-1506985512-htmlstory.html; https://www.nytimes.com/2017/10/02/us/stephen-paddock-vegas-shooter.html; https://www.usatoday.com/story/news/nation/2017/10/06/here-all-victims-las-vegas-shooting/733236001/; https://www.reviewjournal.com/crime/shootings/last-of-local-hospitals-patients-in-las-vegas-shooting-released/; *Note: casualty count from LVMPD report 1-18-18: ""deaths of 58 innocent concert goers and injuring more than
700""",https://www.nytimes.com/2017/10/13/us/stephen-paddock-father-vegas.html; http://www.motherjones.com/crime-justice/2017/10/the-las-vegas-shooter-didnt-just-snap-they-never-do/,36.095739,-115.171544,Mass,2017
San Francisco UPS shooting,"San Francisco, CA",,6/14/17,"Jimmy Lam, 38, fatally shot three coworkers and wounded two others inside a UPS facility in San Francisco. Lam killed himself as law enforcement officers responded to the scene.",3,2,5,Workplace,Yes,"Lam had a history of domestic, work conflict",No,Unclear; the firearm was stolen in Utah. A second handgun Lam had (also stolen) was unused in the attack.,two handguns,MAC-10-style “assault pistol”; 30-round magazine. An additional box of ammunition.,Asian,M,http://www.nbcbayarea.com/news/local/Active-Shooter-San-Francisco-Police-428441423.html; https://apnews.com/2c1690393510447995018b0f9467b44c?utm_campaign=SocialFlow&utm_source=Twitter&utm_medium=AP; http://www.sfchronicle.com/bayarea/article/Police-swarm-UPS-building-in-SF-on-report-of-11219519.php; https://www.pressroom.ups.com/pressroom/ContentDetailsViewer.page?ConceptType=PressReleases&id=1497461182413-836; http://www.foxnews.com/us/2017/06/15/san-francisco-ups-facility-shooting-gunman-identified-as-police-seek-motive.html; http://www.sfgate.com/crime/article/UPS-shooter-in-San-Francisco-used-stolen-gun-with-11243414.php,http://www.ktvu.com/news/ktvu-local-news/261771610-story; https://twitter.com/LauraGarciaCann/status/875072768471117824; http://heavy.com/news/2017/06/jimmy-lam-ups-san-francisco-shooting-suspect/; http://heavy.com/news/2017/06/jimmy-lam-ups-san-francisco-shooting-suspect/,37.765947,-122.406087,Mass,2017
Pennsylvania supermarket shooting,"Tunkhannock, PA",,6/7/17,"Randy Stair, a 24-year-old worker at Weis grocery fatally shot three of his fellow employees. He reportedly fired 59 rounds with a pair of shotguns before turning the gun on himself as another co-worker fled the scene for help and law enforcement responded.",3,0,3,Workplace,Unclear,-,TBD,-,shotguns,-,White,M,http://www.pressconnects.com/story/news/local/pennsylvania/2017/06/08/dead-murder-suicide-pa-weis/102621742/; https://www.washingtonpost.com/news/morning-mix/wp/2017/06/09/killer-in-supermarket-shooting-posted-chilling-videos-online-lauding-columbine-massacre/?utm_term=.4cf2327eb879; https://www.cbsnews.com/news/weiss-supermarket-shooting-spree-randy-stair-spared-coworker/,-,41.529546,-75.94722,Mass,2017
Florida awning manufacturer shooting,"Orlando, Florida",,6/5/17,"John Robert Neumann, Jr., 45, a former employee of manufacturer Fiamma Inc. fatally shot five workers at the company, and then killed himself on the scene. He'd been fired from the company in April. The attack took place a week before the one-year anniversary of the Orlando nightclub massacre.",5,0,5,Workplace,Unclear,-,TBD,-,semiautomatic handgun,-,-,M,http://www.postandcourier.com/news/multiple-people-dead-following-shooting-near-orlando-monday-morning/article_918fe64c-49f6-11e7-b071-a3fbdb04ebcc.html; http://www.mcclatchydc.com/news/politics-government/national-politics/article154471839.htmlhttp://edition.cnn.com/2017/06/05/us/orlando-fatalities/; http://www.orlandosentinel.com/news/orlando-workplace-shooting/os-john-robert-neumann-shooting-suspect-20170605-story.html,-,28.580295,-81.294086,Mass,2017
Rural Ohio nursing home shooting,"Kirkersville, Ohio",,5/12/17,"Thomas Hartless, 43, shot and killed a former girlfriend and another employee of a nursing home, and then fatally shot the Kirkersville police chief responding to the scene. Hartless' former girlfriend had recently obtained a court protection order against Hartless. Investigators later found more than 60 firearms in the home of Hartless, who was also found dead at the scene of the attack.",3,0,3,Workplace,Yes,"Hartless had a violent criminal history; his former girlfriend had submitted a letter in court recently stating that he had ""a severe mental disorder.""",TBD,-,"handgun, shotgun",-,White,M,http://abc6onyourside.com/news/local/report-of-shooting-in-kirkersville; http://www.cbsnews.com/news/64-guns-seized-from-home-of-killer-in-ohio-nursing-home-shooting/,http://www.cbsnews.com/news/64-guns-seized-from-home-of-killer-in-ohio-nursing-home-shooting/,39.959034,-82.596508,Mass,2017
Fresno downtown shooting,"Fresno, California",,4/18/17,"Kori Ali Muhammad, 39, opened fire along a street in downtown Fresno, killing three people randomly in an alleged hate crime prior to being apprehended by police. Muhammad, who is black, killed three white victims and later described his attack as being racially motivated; he also reportedly yelled 'Allahu Akbar' at the time he was arrested, but authorities indicated they found no links to Islamist terrorism.",3,0,3,Other,Unclear,-,Unknown,-,handgun,.357 revolver,Black,M,http://www.dailymail.co.uk/news/article-4443722/Gunman-Fresno-shooting-speaks-jail.html; https://www.nytimes.com/2017/04/18/us/fresno-shooting-rampage-kori-ali-muhammad.html?_r=0,-,36.746378,-119.800319,Mass,2017
Fort Lauderdale airport shooting,"Fort Lauderdale, Florida",,1/6/17,"Esteban Santiago, 26, flew from Alaska to Fort Lauderdale, where he opened fire in the baggage claim area of the airport, killing five and wounding six before police aprehended him. (Numerous other people were reportedly injured while fleeing during the panic.)",5,6,11,Airport,Yes,"Among other signs, Santiago had gone to a FBI office in Anchorage and complained that his mind was being controlled by the CIA.",Yes,-,"semiautomatic handgun
",Walther 9mm semi-automatic pistol[,Latino,M,http://www.nytimes.com/2017/01/07/us/esteban-santiago-fort-lauderdale-airport-shooting-.html?_r=0,http://www.nytimes.com/2017/01/07/us/esteban-santiago-fort-lauderdale-airport-shooting-.html?_r=0,26.072751,-80.143382,Mass,2017
Cascade Mall shooting,"Burlington, WA",,9/23/16,"Arcan Cetin, 20, killed a teen girl and three women in the cosmetics section of a Macy’s department store at the Cascade Mall. A man was critically wounded in the shooting and taken to Harborview Medical Center in Seattle, where he died. Cetin was apprehended by police a few hours after the shooting while driving a car near his residence. ",5,0,5,Other,Yes,"According to the Cetin's stepfather he had ""mental health issues""; court records showed that he suffered from anxiety and depression. ",TBD,-,Rifle,Ruger .22-caliber,-,M,http://www.nytimes.com/2016/09/25/us/mall-shooting-washington-state.html; https://www.seattletimes.com/seattle-news/crime/accused-cascade-mall-shooter-dies-in-snohomish-county-jail/,http://www.nbcnews.com/news/us-news/arcan-cetin-accused-cascade-mall-shooter-charged-five-counts-murder-n654586,48.461367,-122.337918,Mass,2016
Baton Rouge police shooting,"Baton Rouge, LA",,7/17/16,"Gavin Long, a former Marine who served in Iraq, killed three police offers responding to a 911 call, and wounded three others. He was killed in a shoot-out with other officers responding to the scene. Prior to the attack, Long posted prolifically on social media, where he expressed admiration for the cop killer in Dallas 10 days prior.",3,3,6,Other,Yes,Unclear,Unknown,-,Two semiautomatic rifles; one semiautomatic handgun,"IWI Tavor SAR 5.56 caliber rifle, Springfield XD 9, 9mm",Black,M,http://time.com/4411027/baton-rouge-shooter-gavin-long/ ; http://www.nytimes.com/2016/07/18/us/baton-rouge-shooting.html; http://www.kansascity.com/news/local/article90266242.html; http://www.nola.com/crime/index.ssf/2016/07/gavin_long_guns_baton_rouge_po.html; http://www.motherjones.com/politics/2016/07/copycat-mass-shooters-rising-baton-rouge-munich,-,30.433601,-91.081403,Spree,2016
Dallas police shooting,"Dallas, Texas",,7/7/16,"Micah Xavier Johnson, a 25-year-old Army veteran, targeted police at a peaceful Black Lives Matter protest, killing five officers and injuring nine others as well as two civilians. After a prolonged standoff in a downtown building, law enforcement killed Johnson using a robot-delivered bomb.",5,11,16,Other,Unclear,Unclear,Yes,online and or gun show,"Semiautomatic rifle, semiautomatic handguns","Izhmash-Saiga 5.45mm (AK-style) semiautomatic rifle with large capacity magazines; Glock 9mm handgun, .25-caliber semiautomatic handgun",Black,M,http://www.nytimes.com/2016/07/11/us/dallas-shooting-micah-johnson-police.html?_r=0; http://www.wsj.com/articles/dallas-shooter-purchased-guns-legally-official-says-1468269720,-,32.7801052,-96.8000082,Mass,2016
Orlando nightclub massacre,"Orlando, Florida",,6/12/16,"Omar Mateen, 29, attacked the Pulse nighclub in Orlando in the early morning hours of June 12. He was killed by law enforcement who raided the club after a prolonged standoff.",49,53,102,Other,Unclear,Unclear,Yes,"Shooting center in Port St. Lucie, Florida","Semiautomatic rifle, semiautomatic handgun","Sig Sauer MCX rifle, Glock 17 9mm; high-capacity magazines (30 rounds)",Other,M,http://www.motherjones.com/politics/2016/06/assault-rifle-used-by-orlando-mass-shooter; http://wrbl.com/2016/06/13/orlando-police-make-statement-on-mass-shooting/; http://www.slate.com/articles/news_and_politics/crime/2016/06/the_ar_15_and_other_assault_rifles_are_bad_high_capacity_magazines_are_worse.html,-,28.519718,-81.376777,Mass,2016
Excel Industries mass shooting,"Hesston, Kansas",,2/25/16,"Cedric L. Ford, who worked as a painter at a manufacturing company, shot victims from his car and at his workplace before being killed by police at the scene. Shortly before the rampage he had been served with a restraining order.",3,14,17,Workplace,Unclear,Unclear,Yes,-,"Semiautomatic rifle, semiautomatic handgun","Zastava Serbia AK-47-style rifle, Glock Model 22 .40-caliber handgun; high-capacity magazines (30 rounds)",Black,M,http://www.nytimes.com/2016/02/26/us/shooting-at-plant-hesston-kansas.html; https://www.washingtonpost.com/news/morning-mix/wp/2016/02/26/alcoholic-violent-depressed-portrait-of-kansas-shooter-emerges/; https://www.washingtonpost.com/news/post-nation/wp/2016/02/26/kansas-gunman-served-protection-from-abuse-order-shortly-before-shootings-sheriff-says/; http://heavy.com/news/2016/02/cedric-ford-hesston-kansas-shooting-shooter-facebook-video-firing-rifle-gun-field-ak47-ak-47-long-gun-photos-watch-youtube/; http://fox4kc.com/2016/02/26/kansas-woman-charged-with-providing-guns-to-hesston-shooter/,-,38.135992,-97.425145,Mass,2016
Kalamazoo shooting spree,"Kalamazoo County, Michigan",,2/20/16,"Jason B. Dalton, a driver for Uber, apparently selected his victims randomly as he went on a rampage over several hours in three different locations, including five people he shot in the parking lot of a Cracker Barrel restaurant. He was ""arrested without incident"" at a downtown Kalamazoo bar about six hours after the rampage began.",6,2,8,Other,Unclear,Unclear,Yes,-,Semiautomatic handgun,9 mm handgun (ammo used unclear),White,M,http://www.nytimes.com/2016/02/22/us/kalamazoo-michigan-random-shootings.html; http://www.mlive.com/news/kalamazoo/index.ssf/2016/02/4_things_we_know_about_kalamaz.html; http://www.mlive.com/news/kalamazoo/index.ssf/2016/02/prosecutor_mass_shooting_suspe.html#incart_river_index,-,42.236689,-85.674795,Mass,2016
San Bernardino mass shooting,"San Bernardino, California",,12/2/15,"Syed Rizwan Farook left a Christmas party held at Inland Regional Center, later returning with Tashfeen Malik and the two opened fire, killing 14 and wounding 21, ten critically. The two were later killed by police as they fled in an SUV.",14,21,35,"
Workplace",Unclear,Unclear,"
Yes",The suspects purchased their handguns in the United States; the assault rifles were purchased by a third party.,"Two assault rifles and two semi-automatic pistols were used in the attack. Police found a remote controlled explosive device at the scene of the crime. At the home were 12 pipe bombs, 2,500 rounds for the AR-15 variants, 2,000 rounds for the pistols, and several hundred for a .22 calibre rifle. In the suspects' car were an additional 1,400 rounds for the rifles and 200 for the handguns.","Two semiautomatic AR-15-style rifles—one a DPMS A-15, the other a Smith & Wesson M&P15, both with .223 calibre ammunition. Two 9mm semiautomatic handguns. High capacity magazines.",Other,Male & Female,http://www.motherjones.com/mojo/2015/12/san-bernardino-shooting and  http://www.cnbc.com/2015/12/03/san-bernardino-shooting-suspects-rizwan-farook-tashfeen-malik-dead.html and http://www.nytimes.com/2015/12/04/us/san-bernardino-shooting.html and http://www.nytimes.com/2015/12/04/us/weapons-in-san-bernardino-shootings-were-legally-obtained.html?_r=0,-,34.075961,-117.27789,Mass,2015
Planned Parenthood clinic,"Colorado Springs, Colorado",,11/27/15,"Robert Lewis Dear, 57, shot and killed a police officer and two citizens when he opened fire at a Planned Parenthood health clinic in Colorado Springs, Colorado. Nine others were wounded. Dear was arrested after an hours-long standoff with police.",3,9,12,Workplace,Unclear,"The judge in the case has not publicly released Dear's medical and mental health records. As of April 5, 2016, Dear was undergoing a competency evaluation. Dear had a history of disputes with his relatives and neighbors. At a hearing in December 2015, he said, ""I am a warrior for the babies.""",Unknown,Unclear,Long gun,Reportedly an AK-47 style semiautomatic rifle and others. Authorities had not released details on Dear's weapons as of April 2016.,White,M,http://www.nytimes.com/2015/11/28/us/colorado-planned-parenthood-shooting.html and http://www.cnn.com/2015/12/09/us/colorado-planned-parenthood-shooting/ and http://www.npr.org/sections/thetwo-way/2015/11/28/457674369/planned-parenthood-shooting-police-name-suspect-procession-for-fallen-officer and http://www.cbsnews.com/news/robert-lewis-dear-planned-parenthood-first-court-appearance/ and http://www.denverpost.com/news/ci_29729326/judge-wont-release-all-records-accused-planned-parenthood and http://www.csindy.com/IndyBlog/archives/2016/02/17/judge-resists-unsealing-dear-affidavits; http://www.nbcnews.com/news/us-news/who-robert-dear-planned-parenthood-shooting-suspect-seemed-strange-not-n470896,-,38.881031,-104.849057,Mass,2015
Colorado Springs shooting rampage,"Colorado Springs, Colorado",,10/31/15,"Noah Harpham, 33, shot three people before dead in Colorado Springs before police killed him in a shootout.",3,0,3,Other,Unclear,"Prior to the rampage, Harpham wrote an ""incoherent"" blog and rambled ""nonsensically"" in a YouTube video about mind control techniques and God, according to the Denver Post. He had a history of drug and alcohol abuse. ",Yes,Unclear,Two handguns and a rifle,"AR-15 rifle, a 9 mm pistol, and a .357 revolver ",White ,M,http://www.motherjones.com/mojo/2015/11/open-carry-mass-shooting-colorado-springs and http://www.denverpost.com/news/ci_29059452/colorado-springs-police-confronted-shot-gunman-minutes and http://www.cbsnews.com/news/shooter-in-colorado-springs-rampage-legally-purchased-guns/,-,38.83755,-104.814251,Mass,2015
Umpqua Community College shooting,"Roseburg, Oregon",,10/1/15, 26-year-old Chris Harper Mercer opened fire at Umpqua Community College in southwest Oregon. The gunman shot himself to death after being wounded in a shootout with police.,9,9,18,School,Unclear,"Harper-Mercer's mother said in multiple online postings that he had Asperger's syndrome. Harper-Mercer graduated from the Switzer Learning Center, a school for students with special needs, emotional difficulties, autism and Asperger's syndrome.",Yes,From the home he shared with his mother. All were legally obtained by either Harper/Mercer or family members.,"Five pistols, one rifle, five magazines of ammunition","9 mm Glock pistol, .40 caliber Smith & Wesson, .40 caliber Taurus pistol, .556 caliber Del-Ton; (ammo details unclear)",Other,Male,http://www.nytimes.com/2015/10/03/us/chris-harper-mercer-umpqua-community-college-shooting.html; http://www.latimes.com/nation/nationnow/la-na-nn-chris-harper-mercer-oregon-shooting-20151002-htmlstory.html; http://www.huffingtonpost.com/entry/ian-mercer-father-guns_56116d7ae4b0af3706e12525; http://wate.com/2015/10/02/what-we-know-about-umpqua-community-college-shooter-2/; http://www.cnn.com/2015/10/02/us/oregon-umpqua-community-college-shooting/ ,http://www.latimes.com/nation/nationnow/la-na-nn-chris-harper-mercer-oregon-shooting-20151002-htmlstory.html,43.289538,-123.333193,Mass,2015
Chattanooga military recruitment center,"Chattanooga, Tennessee",,7/16/15,"Kuwaiti-born Mohammod Youssuf Abdulazeez, 24, a naturalized US citizen, opened fire at a Naval reserve center, and then drove to a military recruitment office where he shot and killed four Marines and a Navy service member, and wounded a police officer and another military service member. He was then fatally shot in an exchange of gunfire with law enforcement officers responding to the attack.",5,2,7,Military,Unclear,"Abdulazeez ""had suffered for years from depression and possibly from bipolar disorder,"" according to a representative of the family. (NYT, July 20 2015)","Yes (""some of the weapons were purchased legally and some of them may not have been"")","On the internet, via Armslist.com","2 assault rifles; semiautomatic handgun
","AK-47, AR-15, and 30-round magazines; 9mm handgun",Other,Male,http://www.reuters.com/article/2015/07/16/us-usa-shooting-tennessee-idUSKCN0PQ1WY20150716; http://www.nytimes.com/2015/07/18/us/chattanooga-gunmans-past-scoured-for-extremist-ties.html; http://www.wsj.com/articles/chattanooga-shooting-highlights-online-gun-sales-1437435518http://www.nytimes.com/2015/07/19/us/chattanooga-attacks-claim-a-5th-military-service-members-life.html; http://www.cnn.com/2015/07/17/us/tennessee-naval-reserve-shooting/; https://twitter.com/markfollman/status/622105627473477632; http://www.nytimes.com/2015/07/21/us/chattanooga-gunman-wrote-of-suicide-and-martyrdom-official-says.html,-,35.047157,-85.311819,Mass,2015
